LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Whatcom,American Indian and Alaska Native,2011-2015,Currency,37917
County,Whatcom,American Indian and Alaska Native,2012-2016,Currency,41806
County,Whatcom,American Indian and Alaska Native,2013-2017,Currency,44960
County,Whatcom,American Indian and Alaska Native,2014-2018,Currency,48000
County,Whatcom,American Indian and Alaska Native,2015-2019,Currency,48462
County,Whitman,American Indian and Alaska Native,2005-2009,Currency,"*$54,286"
County,Whitman,American Indian and Alaska Native,2006-2010,Currency,"*$54,125"
County,Whitman,American Indian and Alaska Native,2007-2011,Currency,"*$100,909"
County,Whitman,American Indian and Alaska Native,2008-2012,Currency,"*$47,188"
County,Whitman,American Indian and Alaska Native,2009-2013,Currency,"*$39,375"
County,Whitman,American Indian and Alaska Native,2010-2014,Currency,78750
County,Whitman,American Indian and Alaska Native,2011-2015,Currency,S
County,Whitman,American Indian and Alaska Native,2012-2016,Currency,41667
County,Whitman,American Indian and Alaska Native,2013-2017,Currency,61136
County,Whitman,American Indian and Alaska Native,2014-2018,Currency,64519
County,Whitman,American Indian and Alaska Native,2015-2019,Currency,64671
County,Yakima,American Indian and Alaska Native,2005-2009,Currency,"*$37,726"
County,Yakima,American Indian and Alaska Native,2006-2010,Currency,"*$33,456"
County,Yakima,American Indian and Alaska Native,2007-2011,Currency,"*$41,349"
County,Yakima,American Indian and Alaska Native,2008-2012,Currency,"*$36,287"
County,Yakima,American Indian and Alaska Native,2009-2013,Currency,"*$38,667"
County,Yakima,American Indian and Alaska Native,2010-2014,Currency,40216
County,Yakima,American Indian and Alaska Native,2011-2015,Currency,45322
County,Yakima,American Indian and Alaska Native,2012-2016,Currency,47191
County,Yakima,American Indian and Alaska Native,2013-2017,Currency,48502
County,Yakima,American Indian and Alaska Native,2014-2018,Currency,52917
County,Yakima,American Indian and Alaska Native,2015-2019,Currency,52313
